id, first_name, last_name, in_senate, state, gender, party, fec_candidate_id, state_rank, district, govtrack_id
228, Keith, Ellison, false, MN, M, D, H6MN05183, N/A, 5, 412215
229, Tom, Emmer, false, MN, M, R, H4MN06087, N/A, 6, 412639
230, Eliot, Engel, false, NY, M, D, H8NY19058, N/A, 16, 400122
231, Anna, Eshoo, false, CA, F, D, H8CA12098, N/A, 18, 400124
232, Adriano, Espaillat, false, NY, M, D, H2NY13096, N/A, 13, 412718
233, Ron, Estes, false, KS, M, R, H8KS04112, N/A, 4, 412735
234, Elizabeth, Esty, false, CT, F, D, H2CT05131, N/A, 5, 412524
235, Dwight, Evans, false, PA, M, D, H6PA02171, N/A, 2, 412677
236, Blake, Farenthold, false, TX, M, R, H0TX27061, N/A, 27, 412482
237, John, Faso, false, NY, M, R, H6NY19169, N/A, 19, 412719
238, A., Ferguson, false, GA, M, R, H6GA03113, N/A, 3, 412700
239, Brian, Fitzpatrick, false, PA, M, R, H6PA08277, N/A, 8, 412721
240, Chuck, Fleischmann, false, TN, M, R, H0TN03254, N/A, 3, 412476
241, Bill, Flores, false, TX, M, R, H0TX17104, N/A, 17, 412480
242, Jeff, Fortenberry, false, NE, M, R, H4NE01064, N/A, 1, 400640
243, Bill, Foster, false, IL, M, D, H8IL14067, N/A, 11, 412257
244, Virginia, Foxx, false, NC, F, R, H4NC05146, N/A, 5, 400643
245, Lois, Frankel, false, FL, F, D, H2FL14053, N/A, 21, 412529
246, Trent, Franks, false, AZ, M, R, H4AZ04024, N/A, 8, 400141
247, Rodney, Frelinghuysen, false, NJ, M, R, H2NJ05014, N/A, 11, 400142
248, Marcia, Fudge, false, OH, F, D, H8OH11141, N/A, 11, 412327
249, Tulsi, Gabbard, false, HI, F, D, H2HI02508, N/A, 2, 412532
250, Matt, Gaetz, false, FL, M, R, H6FL01119, N/A, 1, 412690
251, Mike, Gallagher, false, WI, M, R, H6WI08155, N/A, 8, 412731
252, Ruben, Gallego, false, AZ, M, D, H4AZ07043, N/A, 7, 412612
253, John, Garamendi, false, CA, M, D, H0CA10149, N/A, 3, 412382
254, Thomas, Garrett, false, VA, M, R, H6VA05142, N/A, 5, 412729
255, Greg, Gianforte, false, MT, M, R, H8MT01182, N/A, At-Large, 412736
256, Bob, Gibbs, false, OH, M, R, H0OH18077, N/A, 7, 412463
257, Louie, Gohmert, false, TX, M, R, H4TX04039, N/A, 1, 400651
258, Jimmy, Gomez, false, CA, M, D, H8CA34266, N/A, 34, 412739
259, Vicente, Gonzalez, false, TX, M, D, H6TX15162, N/A, 15, 412725
260, Jenniffer, González-Colón, false, PR, F, R, H6PR00082, N/A, At-Large, 412723
261, Robert, Goodlatte, false, VA, M, R, H2VA06115, N/A, 6, 400154
262, Paul, Gosar, false, AZ, M, R, H0AZ01259, N/A, 4, 412397
263, Josh, Gottheimer, false, NJ, M, D, H6NJ05171, N/A, 5, 412714
264, Trey, Gowdy, false, SC, M, R, H0SC04257, N/A, 4, 412473
265, Kay, Granger, false, TX, F, R, H6TX12060, N/A, 12, 400157
266, Garret, Graves, false, LA, M, R, H4LA06153, N/A, 6, 412631
267, Sam, Graves, false, MO, M, R, H0MO06073, N/A, 6, 400158
268, Tom, Graves, false, GA, M, R, H0GA09030, N/A, 14, 412388
269, Al, Green, false, TX, M, D, H4TX09095, N/A, 9, 400653
270, Gene, Green, false, TX, M, D, H2TX29030, N/A, 29, 400160
271, Morgan, Griffith, false, VA, M, R, H0VA09055, N/A, 9, 412485
272, Raúl, Grijalva, false, AZ, M, D, H2AZ07070, N/A, 3, 400162
273, Glenn, Grothman, false, WI, M, R, H4WI06048, N/A, 6, 412661
274, Brett, Guthrie, false, KY, M, R, H8KY02031, N/A, 2, 412278
275, Luis, Gutiérrez, false, IL, M, D, H2IL08039, N/A, 4, 400163
276, Colleen, Hanabusa, false, HI, F, D, H2HI02110, N/A, 1, 412418
277, Karen, Handel, false, GA, F, R, H8GA06286, N/A, 6, 412737
278, Gregg, Harper, false, MS, M, R, H8MS03067, N/A, 3, 412280
279, Andy, Harris, false, MD, M, R, H8MD01094, N/A, 1, 412434
280, Vicky, Hartzler, false, MO, F, R, H0MO04086, N/A, 4, 412444
281, Alcee, Hastings, false, FL, M, D, H2FL23021, N/A, 20, 400170
282, Denny, Heck, false, WA, M, D, H0WA03161, N/A, 10, 412584
283, Jeb, Hensarling, false, TX, M, R, H2TX05121, N/A, 5, 400175
284, Kevin, Hern, false, OK, M, R, , N/A, 1, 412748
285, Jaime, Herrera Beutler, false, WA, F, R, H0WA03187, N/A, 3, 412486
286, Jody, Hice, false, GA, M, R, H0GA07125, N/A, 10, 412623
287, Brian, Higgins, false, NY, M, D, H4NY27076, N/A, 26, 400641
288, Clay, Higgins, false, LA, M, R, H6LA03148, N/A, 3, 412705
289, French, Hill, false, AR, M, R, H4AR02141, N/A, 2, 412609
290, Jim, Himes, false, CT, M, D, H8CT04172, N/A, 4, 412282
291, George, Holding, false, NC, M, R, H2NC13110, N/A, 2, 412553
292, Trey, Hollingsworth, false, IN, M, R, H6IN09176, N/A, 9, 412703
293, Steny, Hoyer, false, MD, M, D, H2MD05155, N/A, 5, 400189
294, Richard, Hudson, false, NC, M, R, H2NC08185, N/A, 8, 412550
295, Jared, Huffman, false, CA, M, D, H2CA06259, N/A, 2, 412511
296, Bill, Huizenga, false, MI, M, R, H0MI02094, N/A, 2, 412437
297, Randy, Hultgren, false, IL, M, R, H0IL14080, N/A, 14, 412422
298, Duncan, Hunter, false, CA, M, R, H8CA52052, N/A, 50, 412283
299, Will, Hurd, false, TX, M, R, H0TX23086, N/A, 23, 412654
300, Darrell, Issa, false, CA, M, R, H0CA48024, N/A, 49, 400196
301, Sheila, Jackson Lee, false, TX, F, D, H4TX18054, N/A, 18, 400199
302, Pramila, Jayapal, false, WA, F, D, H6WA07458, N/A, 7, 412730
303, Hakeem, Jeffries, false, NY, M, D, H2NY10092, N/A, 8, 412561
304, Evan, Jenkins, false, WV, M, R, S8WV00127, N/A, 3, 412663
305, Lynn, Jenkins, false, KS, F, R, H8KS02090, N/A, 2, 412284
306, Hank, Johnson, false, GA, M, D, H6GA04129, N/A, 4, 412199
307, Bill, Johnson, false, OH, M, R, H0OH06189, N/A, 6, 412460
308, Mike, Johnson, false, LA, M, R, H6LA04138, N/A, 4, 412706
309, Sam, Johnson, false, TX, M, R, H2TX03118, N/A, 3, 400206
310, Eddie, Johnson, false, TX, F, D, H2TX00015, N/A, 30, 400204
311, Walter, Jones, false, NC, M, R, H2NC01081, N/A, 3, 400209
312, Brenda, Jones, false, MI, F, D, , N/A, 13, Unknown
313, Jim, Jordan, false, OH, M, R, H6OH04082, N/A, 4, 412226
314, Dave, Joyce, false, OH, M, R, H2OH14064, N/A, 14, 412566
315, Marcy, Kaptur, false, OH, F, D, H2OH09031, N/A, 9, 400211
316, John, Katko, false, NY, M, R, H4NY24073, N/A, 24, 412649
317, Bill, Keating, false, MA, M, D, H0MA10082, N/A, 9, 412435
318, Trent, Kelly, false, MS, M, R, H6MS01131, N/A, 1, 412673
319, Robin, Kelly, false, IL, F, D, H2IL02172, N/A, 2, 412595
320, Mike, Kelly, false, PA, M, R, H0PA03271, N/A, 3, 412465
321, Joseph, Kennedy, false, MA, M, D, H2MA04073, N/A, 4, 412543
322, Ro, Khanna, false, CA, M, D, H4CA12055, N/A, 17, 412684
323, Ruben, Kihuen, false, NV, M, D, H2NV00050, N/A, 4, 412716
324, Dan, Kildee, false, MI, M, D, H2MI05119, N/A, 5, 412546
325, Derek, Kilmer, false, WA, M, D, H2WA06129, N/A, 6, 412583
326, Ron, Kind, false, WI, M, D, H6WI03099, N/A, 3, 400218
327, Steve, King, false, IA, M, R, H2IA05072, N/A, 4, 400220
328, Peter, King, false, NY, M, R, H2NY03089, N/A, 2, 400219
329, Adam, Kinzinger, false, IL, M, R, H0IL11052, N/A, 16, 412421
330, Steve, Knight, false, CA, M, R, H4CA25123, N/A, 25, 412614
331, Raja, Krishnamoorthi, false, IL, M, D, H6IL08147, N/A, 8, 412701
332, Ann, Kuster, false, NH, F, D, H0NH02181, N/A, 2, 412557
333, David, Kustoff, false, TN, M, R, H2TN07103, N/A, 8, 412724
334, Raúl, Labrador, false, ID, M, R, H0ID01253, N/A, 1, 412419
335, Darin, LaHood, false, IL, M, R, H6IL18088, N/A, 18, 412674
336, Doug, LaMalfa, false, CA, M, R, H2CA02142, N/A, 1, 412510
337, Conor, Lamb, false, PA, M, D, , N/A, 18, 412744
338, Doug, Lamborn, false, CO, M, R, H6CO05159, N/A, 5, 412191
339, Leonard, Lance, false, NJ, M, R, H6NJ12136, N/A, 7, 412290
340, Jim, Langevin, false, RI, M, D, H0RI02139, N/A, 2, 400230
341, Rick, Larsen, false, WA, M, D, H0WA02080, N/A, 2, 400232
342, John, Larson, false, CT, M, D, H8CT01046, N/A, 1, 400233
343, Robert, Latta, false, OH, M, R, H8OH05036, N/A, 5, 412256
344, Brenda, Lawrence, false, MI, F, D, H2MI14111, N/A, 14, 412638
345, Al, Lawson, false, FL, M, D, H0FL02086, N/A, 5, 412693
346, Barbara, Lee, false, CA, F, D, H8CA09060, N/A, 13, 400237
347, Debbie, Lesko, false, AZ, F, R, , N/A, 8, 412745
348, Sander, Levin, false, MI, M, D, H2MI17023, N/A, 9, 400238
349, Jason, Lewis, false, MN, M, R, H6MN02149, N/A, 2, 412711
350, John, Lewis, false, GA, M, D, H6GA05217, N/A, 5, 400240
351, Ted, Lieu, false, CA, M, D, H4CA33119, N/A, 33, 412616
352, Daniel, Lipinski, false, IL, M, D, H4IL03077, N/A, 3, 400630
353, Frank, LoBiondo, false, NJ, M, R, H2NJ02037, N/A, 2, 400244
354, Dave, Loebsack, false, IA, M, D, H6IA02146, N/A, 2, 412209
355, Zoe, Lofgren, false, CA, F, D, H4CA16049, N/A, 19, 400245
356, Billy, Long, false, MO, M, R, H0MO07113, N/A, 7, 412445
357, Barry, Loudermilk, false, GA, M, R, H4GA11061, N/A, 11, 412624
358, Mia, Love, false, UT, F, R, H2UT04023, N/A, 4, 412656
359, Alan, Lowenthal, false, CA, M, D, H2CA00104, N/A, 47, 412521
360, Nita, Lowey, false, NY, F, D, H8NY20056, N/A, 17, 400246
