candidate_id,bill_id,vote
412619,19,Yea
412622,19,Yea
412623,19,Yea
412624,19,Yea
412625,19,Yea
412629,19,Yea
412630,19,Yea
412631,19,Yea
412632,19,Yea
412634,19,Yea
412637,19,Yea
412638,19,Yea
412639,19,Yea
412641,19,Yea
412644,19,Yea
412646,19,Yea
412647,19,Yea
412648,19,Yea
412649,19,Yea
412652,19,Yea
412653,19,Yea
412654,19,Yea
412655,19,Yea
412657,19,Yea
412660,19,Yea
412661,19,Yea
412662,19,Yea
412670,19,Yea
412673,19,Yea
412674,19,Yea
412675,19,Yea
412676,19,Yea
412677,19,Yea
412682,19,Yea
412683,19,Yea
412684,19,Yea
412685,19,Yea
412686,19,Yea
412687,19,Yea
412688,19,Yea
412689,19,Yea
412690,19,Yea
412691,19,Yea
412692,19,Yea
412693,19,Yea
412694,19,Yea
412695,19,Yea
412696,19,Yea
412697,19,Yea
412698,19,Yea
412699,19,Yea
412700,19,Yea
412701,19,Yea
412702,19,Yea
412703,19,Yea
412704,19,Yea
412705,19,Yea
412706,19,Yea
412707,19,Yea
412708,19,Yea
412709,19,Yea
412710,19,Yea
412712,19,Yea
412713,19,Yea
412714,19,Yea
412717,19,Yea
412718,19,Yea
412721,19,Yea
412722,19,Yea
412724,19,Yea
412725,19,Yea
412726,19,Yea
412728,19,Yea
412730,19,Yea
412731,19,Yea
412732,19,Yea
412735,19,Yea
412736,19,Yea
412738,19,Yea
412739,19,Yea
412740,19,Yea
412744,19,Yea
412745,19,Yea
412746,19,Yea
412747,19,Yea
412748,19,Yea
412749,19,Yea
412750,19,Yea
412751,19,Yea
412753,19,Yea
412754,19,Yea
412755,19,Yea
412756,19,Yea
412757,19,Yea
412758,19,Yea
412759,19,Yea
412760,19,Yea
412761,19,Yea
412762,19,Yea
412763,19,Yea
412764,19,Yea
412765,19,Not Voting
412766,19,Yea
412767,19,Yea
412768,19,Yea
412769,19,Yea
412771,19,Yea
412772,19,Yea
412773,19,Yea
412774,19,Yea
412775,19,Yea
412776,19,Yea
412777,19,Yea
412778,19,Yea
412779,19,Yea
412780,19,Yea
412781,19,Yea
412782,19,Yea
412783,19,Yea
412784,19,Yea
412785,19,Yea
412786,19,Yea
412787,19,Yea
412788,19,Yea
412789,19,Yea
412790,19,Yea
412791,19,Yea
412792,19,Yea
412793,19,Yea
412794,19,Yea
412795,19,Yea
412796,19,Yea
412797,19,Yea
412798,19,Yea
412799,19,Yea
412800,19,Yea
412801,19,Yea
412802,19,Yea
412803,19,Yea
412804,19,Yea
412805,19,Yea
412806,19,Yea
412807,19,Yea
412808,19,Yea
412809,19,Yea
412810,19,Yea
412811,19,Yea
412812,19,Yea
412813,19,Yea
412814,19,Yea
412815,19,Yea
412816,19,Yea
412817,19,Not Voting
412818,19,Yea
412819,19,Yea
412820,19,Yea
412821,19,Yea
412822,19,Yea
412823,19,Yea
412824,19,Yea
412825,19,Yea
412826,19,Yea
412827,19,Yea
412828,19,Yea
412829,19,Yea
412830,19,Yea
412831,19,Yea
412832,19,Yea
412833,19,Yea
412834,19,Yea
412835,19,Yea
412836,19,Yea
412837,19,Yea
412842,19,Yea
400004,18,Yea
400029,18,Not Voting
400030,18,Yea
400033,18,Yea
400046,18,Yea
400052,18,Yea
400057,18,Yea
400068,18,Not Voting
400069,18,Yea
400071,18,Yea
400074,18,Yea
400075,18,Yea
400077,18,Yea
400081,18,Yea
400090,18,Yea
400093,18,Yea
400097,18,Yea
400100,18,Yea
400101,18,Yea
400103,18,Yea
400108,18,Yea
400111,18,Yea
400114,18,Yea
400122,18,Yea
400124,18,Yea
400157,18,Yea
400158,18,Yea
400162,18,Yea
400170,18,Not Voting
400189,18,Yea
400199,18,Yea
400204,18,Yea
400211,18,Yea
400218,18,Yea
400219,18,Yea
400220,18,Yea
400230,18,Yea
400232,18,Yea
400233,18,Yea
400237,18,Yea
400240,18,Yea
400245,18,Yea
400246,18,Yea
400247,18,Yea
400249,18,Yea
400251,18,Yea
400259,18,Yea
400263,18,Yea
400271,18,Yea
400289,18,Yea
400290,18,Yea
400291,18,Yea
400297,18,Yea
400308,18,Yea
400309,18,Yea
400316,18,Yea
400326,18,Yea
400340,18,Yea
400341,18,Not Voting
400347,18,Yea
400349,18,Yea
400350,18,Yea
400352,18,Yea
400355,18,Yea
400360,18,Yea
400361,18,Yea
400363,18,Yea
400364,18,Yea
400365,18,Yea
400366,18,Yea
400371,18,Yea
400373,18,Yea
400376,18,Yea
400379,18,Yea
400380,18,Yea
400402,18,Yea
400403,18,Yea
400404,18,Yea
400411,18,Yea
400414,18,Yea
400416,18,Yea
400417,18,Yea
400419,18,Not Voting
400422,18,Yea
400433,18,Yea
400440,18,Yea
400616,18,Yea
400618,18,Yea
400623,18,Yea
400630,18,Yea
400639,18,Yea
400640,18,Yea
400641,18,Yea
400643,18,Yea
400644,18,Not Voting
400651,18,Yea
400653,18,Yea
